,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,house_age,baths_per_bedroom,type_condo_townhome_rowhome_coop,type_condos,type_multi_family,type_single_family,type_townhomes
117,270000.0,1634.0,2.0,4.0,3.0,2.0,2.0,2.0,2023.0,3.0,0.75,0,0,0,1,0
118,263699.0,1474.0,1.0,3.0,2.0,2.0,2.0,2.0,2025.0,1.0,0.6666666666666666,0,0,0,1,0
119,391000.0,2028.0,2.0,4.0,5.0,4.0,4.0,2.0,2026.0,0.0,1.25,0,0,0,0,1
120,239900.0,2021.0,2.0,3.0,3.0,2.0,2.0,2.0,2019.0,7.0,1.0,0,0,0,1,0
122,417500.0,2119.0,1.0,4.0,3.0,3.0,3.0,2.0,2022.0,4.0,0.75,0,0,0,1,0
123,444900.0,2096.0,1.0,4.0,2.0,2.0,2.0,2.0,2024.0,2.0,0.5,0,0,0,1,0
124,329349.0,1772.0,1.0,3.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.6666666666666666,0,0,0,1,0
125,389990.0,1600.0,1.0,3.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.6666666666666666,0,0,0,1,0
126,997990.0,2979.0,1.0,4.0,5.0,4.0,4.0,3.0,2023.0,3.0,1.25,0,0,0,1,0
127,949888.0,4360.0,1.0,4.0,5.0,4.0,4.0,4.0,2025.0,1.0,1.25,0,0,0,1,0
128,275000.0,1471.0,1.0,2.0,2.0,2.0,2.0,2.0,2022.0,4.0,1.0,0,0,0,1,0
129,352990.0,2872.0,2.0,4.0,4.0,3.0,3.0,2.0,2025.0,1.0,1.0,0,0,0,1,0
130,359990.0,2536.0,2.0,4.0,4.0,3.0,3.0,2.0,2025.0,1.0,1.0,0,0,0,1,0
132,598000.0,2552.0,1.0,4.0,3.0,2.0,2.0,2.0,2022.0,4.0,0.75,0,0,0,1,0
134,669900.0,2695.0,1.0,4.0,4.0,3.0,3.0,2.0,2026.0,0.0,1.0,0,0,0,1,0
135,276403.0,1880.0,2.0,3.0,3.0,2.0,2.0,2.0,2025.0,1.0,1.0,0,0,0,1,0
136,354999.0,2062.0,1.0,4.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.5,0,0,0,1,0
137,510000.0,2600.0,1.0,5.0,5.0,4.0,4.0,2.0,2025.0,1.0,1.0,0,0,0,1,0
138,389990.0,2416.0,2.0,4.0,3.0,2.0,2.0,2.0,2023.0,3.0,0.75,0,0,0,1,0
139,605000.0,2233.0,2.0,3.0,3.0,2.0,2.0,1.0,2022.0,4.0,1.0,0,0,0,1,0
140,350999.0,2081.0,1.0,4.0,2.0,2.0,2.0,2.0,2025.0,1.0,0.5,0,0,0,1,0
141,510000.0,2825.0,1.0,4.0,3.0,2.0,2.0,3.0,2025.0,1.0,0.75,0,0,0,1,0
142,365000.0,1829.0,1.0,3.0,2.0,2.0,2.0,2.0,2021.0,5.0,0.6666666666666666,0,0,0,1,0
143,430000.0,2311.0,1.0,3.0,2.0,2.0,2.0,2.0,2021.0,5.0,0.6666666666666666,0,0,0,1,0
144,338900.0,1855.0,1.0,3.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.6666666666666666,0,0,0,1,0
145,224950.0,1466.0,1.0,3.0,2.0,2.0,2.0,2.0,2020.0,6.0,0.6666666666666666,0,0,0,1,0
146,364900.0,2455.0,2.0,3.0,3.0,2.0,2.0,2.0,2020.0,6.0,1.0,0,0,0,1,0
147,425999.0,2371.0,1.0,4.0,3.0,3.0,3.0,2.0,2023.0,3.0,0.75,0,0,0,1,0
148,354900.0,2165.0,2.0,3.0,3.0,2.0,2.0,2.0,2025.0,1.0,1.0,0,0,0,1,0
149,219990.0,1434.0,1.0,3.0,2.0,2.0,2.0,2.0,2026.0,0.0,0.6666666666666666,0,0,0,1,0
150,524225.0,2383.0,1.0,4.0,2.0,2.0,2.0,3.0,2023.0,3.0,0.5,0,0,0,1,0
151,789000.0,2330.0,1.0,3.0,2.0,2.0,2.0,2.0,2022.0,4.0,0.6666666666666666,0,0,0,1,0
152,599990.0,3550.0,2.0,5.0,4.0,4.0,4.0,2.0,2024.0,2.0,0.8,0,0,0,1,0
153,715137.0,4226.0,2.0,5.0,5.0,4.0,4.0,3.0,2023.0,3.0,1.0,0,0,0,1,0
154,355990.0,1982.0,2.0,3.0,3.0,2.0,2.0,2.0,2023.0,3.0,1.0,0,0,0,0,1
155,529865.0,2371.0,1.0,4.0,2.0,2.0,2.0,3.0,2023.0,3.0,0.5,0,0,0,1,0
156,470000.0,2883.0,2.0,4.0,3.0,3.0,3.0,2.0,2024.0,2.0,0.75,0,0,0,1,0
157,675000.0,2833.0,1.0,4.0,3.0,2.0,2.0,3.0,2024.0,2.0,0.75,0,0,0,1,0
158,565000.0,1508.0,1.0,3.0,3.0,2.0,2.0,2.0,1914.0,112.0,1.0,0,0,0,1,0
159,324990.0,1746.0,1.0,4.0,2.0,2.0,2.0,2.0,2025.0,1.0,0.5,0,0,0,1,0
160,348800.0,1751.0,1.0,3.0,2.0,2.0,2.0,2.0,2020.0,6.0,0.6666666666666666,0,0,0,1,0
162,369950.0,2485.0,1.0,5.0,3.0,3.0,3.0,2.0,2025.0,1.0,0.6,0,0,0,1,0
163,244500.0,1316.0,1.0,3.0,2.0,1.0,2.0,2.0,2020.0,6.0,0.6666666666666666,0,0,0,1,0
164,539699.0,3090.0,2.0,4.0,4.0,3.0,3.0,2.0,2025.0,1.0,1.0,0,0,0,1,0
165,1095000.0,2538.0,1.0,3.0,2.0,2.0,2.0,2.0,2002.0,24.0,0.6666666666666666,0,0,0,1,0
166,540000.0,2160.0,1.0,4.0,3.0,3.0,3.0,2.0,2026.0,0.0,0.75,0,0,0,1,0
167,425000.0,1148.0,2.0,2.0,2.0,2.0,2.0,2.0,1977.0,49.0,1.0,0,1,0,0,0
168,1500000.0,2160.0,2.0,3.0,3.0,2.0,2.0,2.0,2022.0,4.0,1.0,0,0,0,1,0
169,308000.0,1997.0,2.0,4.0,3.0,2.0,2.0,2.0,2025.0,1.0,0.75,0,0,0,1,0
170,489745.0,2427.0,1.0,4.0,3.0,2.0,2.0,3.0,2023.0,3.0,0.75,0,0,0,1,0
171,405850.0,1364.0,1.0,3.0,2.0,2.0,2.0,1.0,2021.0,5.0,0.6666666666666666,0,0,0,1,0
172,361999.0,2177.0,1.0,4.0,3.0,3.0,3.0,2.0,2025.0,1.0,0.75,0,0,0,1,0
174,395000.0,1318.0,3.0,3.0,3.0,2.0,2.0,2.0,2025.0,1.0,1.0,0,1,0,0,0
175,830900.0,3553.0,2.0,5.0,5.0,4.0,4.0,3.0,2023.0,3.0,1.0,0,0,0,1,0
176,755000.0,3129.0,1.0,3.0,3.0,2.0,2.0,2.0,1967.0,59.0,1.0,0,0,0,1,0
178,1399000.0,4400.0,2.0,5.0,7.0,6.0,6.0,3.0,2024.0,2.0,1.4,0,0,0,1,0
179,599000.0,3300.0,2.0,3.0,3.0,3.0,3.0,2.0,2025.0,1.0,1.0,0,0,1,0,0
180,335000.0,1661.0,1.0,3.0,2.0,2.0,2.0,2.0,2024.0,2.0,0.6666666666666666,0,0,0,1,0
181,307000.0,1640.0,1.0,3.0,2.0,2.0,2.0,2.0,2023.0,3.0,0.6666666666666666,0,0,0,1,0
182,340000.0,1891.0,1.0,3.0,2.0,2.0,2.0,2.0,2025.0,1.0,0.6666666666666666,0,0,0,1,0
183,715000.0,2694.0,1.0,4.0,3.0,2.0,2.0,2.0,2026.0,0.0,0.75,0,0,0,1,0
184,150000.0,992.0,1.0,1.0,1.0,1.0,1.0,2.0,2011.0,15.0,1.0,0,0,0,1,0
186,205000.0,3544.0,2.0,2.0,3.0,3.0,3.0,1.0,1982.0,44.0,1.5,0,0,0,1,0
187,564556.0,2769.0,2.0,4.0,4.0,3.0,3.0,2.0,2023.0,3.0,1.0,0,0,0,1,0
